,urn,dhlabid,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
0,URN:NBN:no-nb_digibok_2009021704085,100010961.0,"NTR - Det nye testamente revidert . [ 1 ] : Lukasevangeliet , Første tessalonikerbrev , Andre tessalonikerbrev , Galaterbrevet , Filipperbrevet",,oai:nb.bibsys.no:990306833274702202,9e8113266765c944cea38c0fcfd34bbe,8254106053,[Oslo],20030101.0,2003.0,Det norske bibelselskap,nob,lukas / evangelium / tessalonikerbrevene / galaterbrevet / filipperbrevet / kommentarer,225.53982,,Faglitteratur,digibok,nb,20060101.0
1,URN:NBN:no-nb_digibok_2008052304066,100040613.0,Det Nye testamente : oversatt for ungdom,"Osnes , Torbjørn",oai:nb.bibsys.no:999320325754702202,d5ea6a15bc39799e2b0f38cc044d0b40,,Oslo,19590101.0,1959.0,Det Norske bibelselskaps forl.,nob,bibelen / nt / norsk / n.t. / nye / testamente / ungdomsoversettelsen,225,,Faglitteratur,digibok,nb,20060101.0
2,URN:NBN:no-nb_digibok_2011060308011,100048618.0,Det nye testamentet,,oai:nb.bibsys.no:990518574564702202,5c7f1024d8bdf976d9beecc31b2799ce,8254106371 / 8254106525 / 8254106355,Oslo,20050101.0,2005.0,Det norske bibelselskap,nob,bibelen / nt / norsk / bokmål,225.53982,,Faglitteratur,digibok,nb,20060101.0
3,URN:NBN:no-nb_digibok_2012033008102,100084964.0,Evangeliet etter Lukas,,oai:nb.bibsys.no:999517749054702202,56c89c59b6cefbeec57c2f2358070087,8254100012,Oslo,19730101.0,1973.0,Det norske bibelselskap,nob,bibelen / nt,226.4,,Faglitteratur,digibok,nb,20060101.0
4,URN:NBN:no-nb_digibok_2012081508153,100100888.0,Vær ikke redde : evangeliet etter Markus,"Skard , Vemund / Osnes , Torbjørn",oai:nb.bibsys.no:999517716634702202,79048bdeb3b5a6fca7cb337ea0f88e75,,Oslo,19510101.0,1951.0,Det norske bibelselskaps forlag,nob / grc,,,,Uklassifisert,digibok,nb,20060101.0
5,URN:NBN:no-nb_digibok_2013030506026,100138726.0,Bibelen : det Gamle og det Nye testamente : [ bokmål ],,oai:nb.bibsys.no:998121802324702202,6ea8172da162dd50c8ae6932d3ecb773,8254100209,[Oslo],19780101.0,1978.0,Det Norske bibelselskaps forlag,nob,bibelen / religion / kristendom / norsk / nynorsk,220.5 / 220,,Faglitteratur,digibok,nb,20060101.0
6,URN:NBN:no-nb_digibok_2013020808015,100139398.0,"NTR - Det nye testamente revidert . [ 2 ] : Markusevangeliet , Romerbrevet , Første korinterbrev , Andre korinterbrev",,oai:nb.bibsys.no:990319025374702202,86c339841e105072dfbcd4d1827114d2,8254106134,[Oslo],20030101.0,2003.0,Det norske bibelselskap,mul / nob / nno,markusevangeliet / romerbrevet / første / andre / korinterbrev / kommentarer,225.53982,,Faglitteratur,digibok,nb,20060101.0
7,URN:NBN:no-nb_digibok_2013061206082,100152845.0,"NTR - Det nye testamente revidert . [ 3 ] : Matteusevangeliet , Efeserbrevet , Kolosserbrevet",,oai:nb.bibsys.no:990407375784702202,c44914d3e6b79fc340f9f96ca5913cc3,8254106142,[Oslo],20040101.0,2004.0,Det norske bibelselskap,nob,bibelen / nt / matteus / efeserbrevet / kolosserbrevet / kommentar / matteusevangeliet,225.53982,,Faglitteratur,digibok,nb,20060101.0
8,URN:NBN:no-nb_digibok_2015110407068,100274283.0,Godt nytt : Det nye testamentet for menneske i dag ; illustrert av Annie Vallotton,"Vallotton , Annie",oai:nb.bibsys.no:999407309444702202,7a05508be4c91bd7a5938a1772eddaf6,8254100071 / 8254100276,Oslo,19760101.0,1976.0,Bibelselskapet,nno,bibelen / nt / nynorsk,225,,Faglitteratur,digibok,nb,20060101.0
9,URN:NBN:no-nb_digibok_2016061748023,100297911.0,Godt nytt : Det nye testamente for mennesker i dag : ny oversettelse av 1975,"Vallotton , Annie",oai:nb.bibsys.no:998320963424702202,01e4db4d291fadf1d4024c448bb7f7f3,,Oslo,19750101.0,1975.0,Det norske bibelselskaps forl.,nob / gre,bibelen / nt / nye / testamentet / bibelen.,225,,Faglitteratur,digibok,nb,20060101.0
10,URN:NBN:no-nb_digibok_2018020748002,100364017.0,Når Ordet blir norsk : norske bibeloversettelser 1945-2011,"Bøe , Sverre / Holmås , Geir Otto",oai:nb.bibsys.no:991149384904702202,677388e01cf22ff8612c78248ee4e38b,,,20110101.0,2011.0,Tapir akademisk forl.,nob,Norsk språk / Eksegese / Historisk framstilling / Kristne kirke / Oversettelse / bibeloversettelse / bibeloversettelser / norsk / norge / historiekirkehistorie / bibelomsettingar / noreg / skriftspråk / bibelspråk / bibeltolking / oversettelsesprinsipper,220.53982 / 220.53982 / 439.8209 / 220.53982 / 220.53982,,Faglitteratur,digibok,nb,20060101.0
11,URN:NBN:no-nb_digibok_2018030805008,100365478.0,Utvalg av det Gamle testamente : oversettelse av 1966,,oai:nb.bibsys.no:999432251244702202,da3df08ee99ca3409a9623e7ae27a541,,Oslo,19660101.0,1966.0,Det Norske bibelselskaps forl.,nob / heb,bibelen / gt / gamle / testamente / bibelen. / norsk,221,,Faglitteratur,digibok,nb,20060101.0
12,URN:NBN:no-nb_digibok_2017091807031,100482251.0,"Bibelen , eller Den Hellige skrift : det gamle og det Nye testamentes kanoniske bøker",,oai:nb.bibsys.no:999810496724702202,1392ec7beb640473b68ed617b9612a1c,,Oslo,19300101.0,1930.0,Det Norske bibelselskap,nob,,220,,Uklassifisert,digibok,nb,20060101.0
13,URN:NBN:no-nb_digibok_2019061928001,100484406.0,"Biblia : Det er den gantske Hellige Scrifft , vdsæt paa Danske",,oai:nb.bibsys.no:999513440564702202,9067823b4ad8d2efec7ba2a1e324275f,,Prentit i Københaffn,15500101.0,1550.0,aff Ludowich Dietz,dan,,,,Uklassifisert,digibok,nb,20060101.0
14,URN:NBN:no-nb_digibok_2021012648506,100485380.0,"Bibelen , eller Den hellige Skrift indeholdende det Gamle og Nye Testamentes kanoniske Bøger",,oai:nb.bibsys.no:990510138004702202,147f291607fdbaf27fdc63e15b9eb97e,,Christiania,19050101.0,1905.0,Det norske Bibelselskabs Forl.,nob,,,,Uklassifisert,digibok,nb,20060101.0
